seed,target_deterministic_share,lexical_variation,paired_diff_point,paired_diff_ci_low,paired_diff_ci_high,empirical_winner,bootstrap_resamples,bootstrap_alpha,delta
31018,0.3,False,0.0022404779686332477,-0.0014936519790889058,0.005974607916355512,tie,2000,0.05,0.02
31019,0.3,False,0.0007704160246533309,-0.0038520801232665436,0.006163328197226425,tie,2000,0.05,0.02
31020,0.3,False,0.00302571860816947,0.0005042864346949116,0.006051437216338829,tie,2000,0.05,0.02
31001,0.3,True,-0.11609336609336607,-0.13267813267813267,-0.09950859950859947,retrieval,2000,0.05,0.02
31002,0.3,True,-0.12491738268341035,-0.1414408460013219,-0.10905485789821545,retrieval,2000,0.05,0.02
31003,0.3,True,-0.1567436208991495,-0.17557715674362084,-0.1391251518833535,retrieval,2000,0.05,0.02
31004,0.3,True,-0.1661858049624928,-0.18465089440276983,-0.14829774956722452,retrieval,2000,0.05,0.02
31005,0.3,True,-0.12863705972434913,-0.14931087289433376,-0.10796324655436451,retrieval,2000,0.05,0.02
31006,0.3,True,-0.12397660818713452,-0.14035087719298245,-0.10701754385964912,retrieval,2000,0.05,0.02
31007,0.3,True,-0.14164004259850904,-0.15761448349307772,-0.12566560170394037,retrieval,2000,0.05,0.02
31008,0.3,True,-0.15805849408836337,-0.17548226509023024,-0.13939016801493465,retrieval,2000,0.05,0.02
31009,0.3,True,-0.16312997347480107,-0.18236074270557034,-0.14323607427055696,retrieval,2000,0.05,0.02
31010,0.3,True,-0.13113061435209084,-0.14610221992772332,-0.11461022199277238,retrieval,2000,0.05,0.02
31011,0.3,True,-0.14321140731556103,-0.161810291382517,-0.12399256044637319,retrieval,2000,0.05,0.02
31012,0.3,True,-0.15938697318007655,-0.18084291187739465,-0.13793103448275867,retrieval,2000,0.05,0.02
31013,0.3,True,-0.16601049868766404,-0.18503937007874016,-0.14698162729658792,retrieval,2000,0.05,0.02
31014,0.3,True,-0.17442545668827347,-0.19446081319976438,-0.1561579257513258,retrieval,2000,0.05,0.02
31015,0.3,True,-0.1451895043731778,-0.16326530612244894,-0.1282798833819242,retrieval,2000,0.05,0.02
31016,0.3,True,-0.14703675918979753,-0.16804201050262568,-0.12603150787696926,retrieval,2000,0.05,0.02
31017,0.3,True,-0.13394298009682626,-0.15061861215707373,-0.11780527165142551,retrieval,2000,0.05,0.02
31018,0.3,True,-0.13368185212845407,-0.15235250186706495,-0.11501120238984319,retrieval,2000,0.05,0.02
31019,0.3,True,-0.15485362095531585,-0.17565485362095534,-0.13559322033898302,retrieval,2000,0.05,0.02
31020,0.3,True,-0.14422592032274328,-0.16036308623298035,-0.12758446797781142,retrieval,2000,0.05,0.02
31001,0.5,False,0.0023866348448686736,-0.0011933174224344478,0.005966587112171906,tie,2000,0.05,0.02
31002,0.5,False,0.004450095359186279,0.0,0.009535918626827788,tie,2000,0.05,0.02
31003,0.5,False,0.0022675736961451642,-0.001700680272108901,0.006802721088435271,tie,2000,0.05,0.02
31004,0.5,False,0.0030557677616501744,-0.0015278838808250317,0.007639419404125269,tie,2000,0.05,0.02
31005,0.5,False,0.0013797861331493744,-0.0010348395998620585,0.004139358399448012,tie,2000,0.05,0.02
