status,seed,target_deterministic_share,lexical_variation,p_transform,realized_det_pct,weighted_ads,unweighted_ads,cross_company_consistency,n_products_train,n_train_lines,n_test_lines,rules_whole_set_accuracy,rules_coverage,retrieval_whole_set_accuracy,retrieval_coverage,retrieval_cutoff_used,paired_diff_point,paired_diff_ci_low,paired_diff_ci_high,empirical_winner,r3_selected_mechanism,r3_agrees_with_empirical,elapsed_seconds
ok,31001,0.0,False,0.0,0.5086782376502003,0.7174887892376681,0.8246556863786078,0.6295079802802046,749,5129,1259,0.6664019062748213,0.9626687847498014,0.6568705321683876,1.0,75,0.009531374106433677,0.001588562351072298,0.018268467037331204,tie,llm_required,,4.686
ok,31002,0.0,False,0.0,0.44994246260069043,0.710861525818381,0.8100595851128165,0.6165771593579478,869,7301,1875,0.6864,0.9728,0.6805333333333333,1.0,75,0.005866666666666687,0.0016000000000000458,0.010666666666666602,tie,llm_required,,8.513
ok,31003,0.0,False,0.0,0.4475,0.7034482758620689,0.8076374403235326,0.6022216893964193,800,6960,1757,0.7114399544678429,0.9726807057484348,0.7097324985771201,1.0,75,0.0017074558907228532,-0.0011383039271486428,0.005122367672168449,tie,llm_required,,11.597
ok,31004,0.0,False,0.0,0.4583883751651255,0.7256006628003314,0.8181788354523817,0.661860134303622,757,6035,1688,0.7067535545023697,0.9727488151658767,0.7031990521327014,1.0,75,0.0035545023696682554,-0.0005924170616113944,0.007701421800947905,tie,llm_required,,7.268
ok,31005,0.0,False,0.0,0.4718969555035129,0.7151104417670683,0.8236344015038709,0.6412176435805585,854,7968,2116,0.7046313799621928,0.9763705103969754,0.7017958412098299,1.0,75,0.002835538752362976,0.0,0.0061436672967863926,tie,llm_required,,3.799
ok,31006,0.0,False,0.0,0.45738295318127253,0.7118162736140264,0.8165967003766813,0.6256489105665708,833,8099,2134,0.6771321462043112,0.971883786316776,0.6701030927835051,1.0,75,0.007029053420806064,0.0032802249297094743,0.011246485473289658,tie,llm_required,,4.887
ok,31007,0.0,False,0.0,0.49764150943396224,0.6874534901026939,0.8196420501961738,0.6202667546420203,848,6719,1801,0.6996113270405331,0.9761243753470294,0.6918378678511938,1.0,75,0.007773459189339249,0.003331482509716821,0.01277068295391448,tie,llm_required,,2.607
ok,31008,0.0,False,0.0,0.48333333333333334,0.6981237748529824,0.8254899838532981,0.6315441831891294,780,7142,1922,0.676378772112383,0.9719042663891779,0.6711758584807492,1.0,75,0.005202913631633721,0.0010405827263267886,0.009365244536940764,tie,llm_required,,2.75
ok,31009,0.0,False,0.0,0.45875,0.6947489299509343,0.8179447457223624,0.6372018182586062,800,9579,2735,0.6950639853747714,0.9762340036563071,0.693235831809872,1.0,75,0.001828153564899404,-0.000365630712979903,0.004021937842778711,tie,llm_required,,5.645
ok,31010,0.0,False,0.0,0.4810126582278481,0.7205549690846026,0.8164276030335741,0.6358432400027807,790,6631,1763,0.685195689166194,0.9648326715825298,0.6829268292682927,1.0,75,0.0022688598979012653,-0.001701644923425949,0.006239364719228591,tie,llm_required,,2.554
ok,31011,0.0,False,0.0,0.4919653893695921,0.7135435327839484,0.815958396415407,0.6454109659635905,809,5582,1474,0.6743554952510177,0.9620081411126187,0.6668928086838535,1.0,75,0.007462686567164201,0.0027137042062415073,0.012890094979647215,tie,llm_required,,2.419
ok,31012,0.0,False,0.0,0.5267489711934157,0.7273085253002559,0.835717452055308,0.6665848330148046,729,5079,1437,0.6833681280445373,0.9617258176757133,0.6805845511482255,1.0,75,0.0027835768963118124,-0.002087682672233915,0.008350730688935215,tie,llm_required,,3.45
ok,31013,0.0,False,0.0,0.5139240506329114,0.7108433734939759,0.8297336695906335,0.6077387546353378,790,5727,1466,0.669849931787176,0.9638472032742156,0.6678035470668485,1.0,75,0.0020463847203274765,-0.0027285129604365244,0.006821282401091366,tie,llm_required,,2.273
ok,31014,0.0,False,0.0,0.4837451235370611,0.7227504244482174,0.8228512886564734,0.617893821026457,769,5890,1437,0.6757132915796799,0.9700765483646486,0.6680584551148225,1.0,75,0.0076548364648573175,0.0027835768963117014,0.013221990257480831,tie,llm_required,,2.358
ok,31015,0.0,False,0.0,0.4820766378244747,0.7309729157209865,0.8275185611477656,0.6603584930143613,809,6609,1854,0.7173678532901834,0.9746494066882416,0.7125134843581445,1.0,75,0.004854368932038833,0.0010787486515640987,0.00916936353829556,tie,llm_required,,5.213
ok,31016,0.0,False,0.0,0.4743276283618582,0.7420958166505591,0.8264109883536994,0.6500559866920903,818,7243,1805,0.7240997229916898,0.9606648199445983,0.7213296398891966,1.0,75,0.0027700831024931594,-0.002216066481994461,0.007756232686980558,tie,llm_required,,5.193
ok,31017,0.0,False,0.0,0.44138755980861244,0.7266474067959829,0.8113458767393443,0.6335757613123139,836,7269,1884,0.6894904458598726,0.9639065817409767,0.6868365180467091,1.0,75,0.002653927813163537,-0.002123142250530785,0.007961783439490389,tie,llm_required,,4.78
ok,31018,0.0,False,0.0,0.5113636363636364,0.7242372881355932,0.8299578864799649,0.6244553278998268,792,5900,1589,0.6891126494650723,0.9641283826305853,0.6809314033983638,1.0,75,0.008181246066708558,0.0037759597230961894,0.013845185651353065,tie,llm_required,,2.468
ok,31019,0.0,False,0.0,0.4840357598978289,0.7252262982372558,0.8236824888710587,0.6286763233691073,783,8396,2209,0.6985061113626075,0.9764599366229063,0.6953372566772296,1.0,75,0.0031688546853779753,0.0,0.006790402897238534,tie,llm_required,,4.361
ok,31020,0.0,False,0.0,0.45625,0.6887868463931269,0.812213622891642,0.586404825547718,800,6751,1783,0.6763881099270892,0.9747616376892877,0.6735838474481212,1.0,75,0.0028042624789680337,-0.001121704991587258,0.007291082445316843,tie,llm_required,,5.288
ok,31001,0.0,True,0.3,0.5086782376502003,0.7174887892376681,0.8246556863786078,0.6295079802802046,749,5129,1259,0.4892772041302621,0.7243844320889595,0.6012708498808578,1.0,75,-0.11199364575059567,-0.13343923749007147,-0.09213661636219228,retrieval,llm_required,,2.684
ok,31002,0.0,True,0.3,0.44994246260069043,0.710861525818381,0.8100595851128165,0.6165771593579478,869,7301,1875,0.512,0.7509333333333333,0.6368,1.0,75,-0.12480000000000002,-0.14186666666666659,-0.10933333333333334,retrieval,llm_required,,6.213
ok,31003,0.0,True,0.3,0.4475,0.7034482758620689,0.8076374403235326,0.6022216893964193,800,6960,1757,0.5429709732498577,0.7626636311895276,0.6619237336368811,1.0,75,-0.1189527603870234,-0.13431986340352875,-0.10358565737051795,retrieval,llm_required,,3.937
