seed,target_deterministic_share,lexical_variation,status,realized_det_pct,n_train_lines,n_test_lines
31001,0.0,False,ok,0.5086782376502003,5129,1259
31002,0.0,False,ok,0.44994246260069043,7301,1875
31003,0.0,False,ok,0.4475,6960,1757
31004,0.0,False,ok,0.4583883751651255,6035,1688
31005,0.0,False,ok,0.4718969555035129,7968,2116
31006,0.0,False,ok,0.45738295318127253,8099,2134
31007,0.0,False,ok,0.49764150943396224,6719,1801
31008,0.0,False,ok,0.48333333333333334,7142,1922
31009,0.0,False,ok,0.45875,9579,2735
31010,0.0,False,ok,0.4810126582278481,6631,1763
31011,0.0,False,ok,0.4919653893695921,5582,1474
31012,0.0,False,ok,0.5267489711934157,5079,1437
31013,0.0,False,ok,0.5139240506329114,5727,1466
31014,0.0,False,ok,0.4837451235370611,5890,1437
31015,0.0,False,ok,0.4820766378244747,6609,1854
31016,0.0,False,ok,0.4743276283618582,7243,1805
31017,0.0,False,ok,0.44138755980861244,7269,1884
31018,0.0,False,ok,0.5113636363636364,5900,1589
31019,0.0,False,ok,0.4840357598978289,8396,2209
31020,0.0,False,ok,0.45625,6751,1783
31001,0.0,True,ok,0.5086782376502003,5129,1259
31002,0.0,True,ok,0.44994246260069043,7301,1875
31003,0.0,True,ok,0.4475,6960,1757
31004,0.0,True,ok,0.4583883751651255,6035,1688
31005,0.0,True,ok,0.4718969555035129,7968,2116
31006,0.0,True,ok,0.45738295318127253,8099,2134
31007,0.0,True,ok,0.49764150943396224,6719,1801
31008,0.0,True,ok,0.48333333333333334,7142,1922
31009,0.0,True,ok,0.45875,9579,2735
31010,0.0,True,ok,0.4810126582278481,6631,1763
31011,0.0,True,ok,0.4919653893695921,5582,1474
31012,0.0,True,ok,0.5267489711934157,5079,1437
31013,0.0,True,ok,0.5139240506329114,5727,1466
31014,0.0,True,ok,0.4837451235370611,5890,1437
31015,0.0,True,ok,0.4820766378244747,6609,1854
31016,0.0,True,ok,0.4743276283618582,7243,1805
31017,0.0,True,ok,0.44138755980861244,7269,1884
31018,0.0,True,ok,0.5113636363636364,5900,1589
31019,0.0,True,ok,0.4840357598978289,8396,2209
31020,0.0,True,ok,0.45625,6751,1783
31001,0.2,False,ok,0.5730027548209367,5518,1520
31002,0.2,False,ok,0.5583524027459954,7327,1890
31003,0.2,False,ok,0.6032138442521632,6998,1875
31004,0.2,False,ok,0.5559360730593608,9538,2363
31005,0.2,False,ok,0.5609756097560976,5855,1533
31006,0.2,False,ok,0.6020278833967047,4214,1153
31007,0.2,False,ok,0.5621693121693122,6550,1740
31008,0.2,False,ok,0.5680100755667506,7280,1854
31009,0.2,False,ok,0.5596919127086007,8704,2335
31010,0.2,False,ok,0.5867014341590613,6386,1610
31011,0.2,False,ok,0.6139240506329114,4934,1278
31012,0.2,False,ok,0.5222222222222223,12484,3767
31013,0.2,False,ok,0.557396449704142,7672,2252
31014,0.2,False,ok,0.5548926014319809,7876,2115
31015,0.2,False,ok,0.6148409893992933,5754,1589
31016,0.2,False,ok,0.535,8498,2181
31017,0.2,False,ok,0.5508905852417303,8261,2328
31018,0.2,False,ok,0.5616083009079118,5543,1439
31019,0.2,False,ok,0.5878634639696586,7544,1785
31020,0.2,False,ok,0.5690140845070423,5495,1296
31001,0.2,True,ok,0.5730027548209367,5518,1520
31002,0.2,True,ok,0.5583524027459954,7327,1890
31003,0.2,True,ok,0.6032138442521632,6998,1875
31004,0.2,True,ok,0.5559360730593608,9538,2363
31005,0.2,True,ok,0.5609756097560976,5855,1533
31006,0.2,True,ok,0.6020278833967047,4214,1153
31007,0.2,True,ok,0.5621693121693122,6550,1740
31008,0.2,True,ok,0.5680100755667506,7280,1854
31009,0.2,True,ok,0.5596919127086007,8704,2335
31010,0.2,True,ok,0.5867014341590613,6386,1610
31011,0.2,True,ok,0.6139240506329114,4934,1278
31012,0.2,True,ok,0.5222222222222223,12484,3767
31013,0.2,True,ok,0.557396449704142,7672,2252
31014,0.2,True,ok,0.5548926014319809,7876,2115
31015,0.2,True,ok,0.6148409893992933,5754,1589
31016,0.2,True,ok,0.535,8498,2181
31017,0.2,True,ok,0.5508905852417303,8261,2328
31018,0.2,True,ok,0.5616083009079118,5543,1439
31019,0.2,True,ok,0.5878634639696586,7544,1785
31020,0.2,True,ok,0.5690140845070423,5495,1296
31001,0.3,False,ok,0.6485013623978202,5791,1628
31002,0.3,False,ok,0.5838587641866331,5764,1513
31003,0.3,False,ok,0.6297760210803689,6302,1646
31004,0.3,False,ok,0.5887290167865707,6481,1733
31005,0.3,False,ok,0.6105417276720352,5202,1306
31006,0.3,False,ok,0.6171003717472119,6208,1710
31007,0.3,False,ok,0.5975757575757575,6554,1878
31008,0.3,False,ok,0.6411837237977805,5865,1607
31009,0.3,False,ok,0.6463878326996197,4935,1508
31010,0.3,False,ok,0.6277278562259306,7730,1937
31011,0.3,False,ok,0.6231884057971014,6322,1613
31012,0.3,False,ok,0.6258503401360545,4945,1305
31013,0.3,False,ok,0.6248382923673997,5631,1524
31014,0.3,False,ok,0.5693069306930693,6660,1697
31015,0.3,False,ok,0.5793548387096774,6475,1715
31016,0.3,False,ok,0.6172680412371134,5069,1333
31017,0.3,False,ok,0.6027397260273972,7120,1859
31018,0.3,False,ok,0.614441416893733,5182,1339
31019,0.3,False,ok,0.6194125159642401,4895,1298
31020,0.3,False,ok,0.590728476821192,7498,1983
31001,0.3,True,ok,0.6485013623978202,5791,1628
31002,0.3,True,ok,0.5838587641866331,5764,1513
31003,0.3,True,ok,0.6297760210803689,6302,1646
31004,0.3,True,ok,0.5887290167865707,6481,1733
31005,0.3,True,ok,0.6105417276720352,5202,1306
31006,0.3,True,ok,0.6171003717472119,6208,1710
31007,0.3,True,ok,0.5975757575757575,6554,1878
31008,0.3,True,ok,0.6411837237977805,5865,1607
31009,0.3,True,ok,0.6463878326996197,4935,1508
31010,0.3,True,ok,0.6277278562259306,7730,1937
31011,0.3,True,ok,0.6231884057971014,6322,1613
31012,0.3,True,ok,0.6258503401360545,4945,1305
31013,0.3,True,ok,0.6248382923673997,5631,1524
31014,0.3,True,ok,0.5693069306930693,6660,1697
31015,0.3,True,ok,0.5793548387096774,6475,1715
31016,0.3,True,ok,0.6172680412371134,5069,1333
31017,0.3,True,ok,0.6027397260273972,7120,1859
31018,0.3,True,ok,0.614441416893733,5182,1339
31019,0.3,True,ok,0.6194125159642401,4895,1298
31020,0.3,True,ok,0.590728476821192,7498,1983
31001,0.5,False,ok,0.7017114914425427,6513,1676
31002,0.5,False,ok,0.705655526992288,6214,1573
31003,0.5,False,ok,0.7192755498059509,6758,1764
31004,0.5,False,ok,0.7270233196159122,4645,1309
31005,0.5,False,ok,0.6777777777777778,12293,2899
31006,0.5,False,ok,0.6724782067247821,5424,1425
31007,0.5,False,ok,0.7014341590612777,5806,1479
31008,0.5,False,ok,0.6586538461538461,7740,2100
31009,0.5,False,ok,0.7188703465982028,5846,1618
31010,0.5,False,ok,0.6897810218978102,6714,1862
31011,0.5,False,ok,0.7037037037037037,7949,2080
31012,0.5,False,ok,0.6784869976359338,6945,1878
31013,0.5,False,ok,0.6971649484536082,5300,1398
31014,0.5,False,ok,0.6911764705882353,7000,2003
31015,0.5,False,ok,0.6938271604938272,8323,2165
31016,0.5,False,ok,0.6670533642691415,7195,1920
31017,0.5,False,ok,0.7110849056603774,6189,1625
31018,0.5,False,ok,0.6794701986754967,7757,1950
31019,0.5,False,ok,0.7237354085603113,5385,1316
31020,0.5,False,ok,0.7060367454068242,5112,1349
31001,0.5,True,ok,0.7017114914425427,6513,1676
31002,0.5,True,ok,0.705655526992288,6214,1573
31003,0.5,True,ok,0.7192755498059509,6758,1764
31004,0.5,True,ok,0.7270233196159122,4645,1309
31005,0.5,True,ok,0.6777777777777778,12293,2899
31006,0.5,True,ok,0.6724782067247821,5424,1425
31007,0.5,True,ok,0.7014341590612777,5806,1479
31008,0.5,True,ok,0.6586538461538461,7740,2100
31009,0.5,True,ok,0.7188703465982028,5846,1618
31010,0.5,True,ok,0.6897810218978102,6714,1862
31011,0.5,True,ok,0.7037037037037037,7949,2080
31012,0.5,True,ok,0.6784869976359338,6945,1878
31013,0.5,True,ok,0.6971649484536082,5300,1398
31014,0.5,True,ok,0.6911764705882353,7000,2003
31015,0.5,True,ok,0.6938271604938272,8323,2165
31016,0.5,True,ok,0.6670533642691415,7195,1920
31017,0.5,True,ok,0.7110849056603774,6189,1625
31018,0.5,True,ok,0.6794701986754967,7757,1950
31019,0.5,True,ok,0.7237354085603113,5385,1316
31020,0.5,True,ok,0.7060367454068242,5112,1349
31001,0.75,False,ok,0.7942583732057417,7151,2012
31002,0.75,False,ok,0.8027638190954773,5875,1424
31003,0.75,False,ok,0.8168674698795181,11396,3513
31004,0.75,False,ok,0.8110137672090113,5270,1381
31005,0.75,False,ok,0.7896138482023968,7468,1886
31006,0.75,False,ok,0.7977386934673367,9347,2353
31007,0.75,False,ok,0.7910085054678008,7550,2097
31008,0.75,False,ok,0.807843137254902,5923,1650
31009,0.75,False,ok,0.7843406593406593,8475,2263
31010,0.75,False,ok,0.7941176470588235,5871,1609
31011,0.75,False,ok,0.7982989064398542,7763,1978
31012,0.75,False,ok,0.8022959183673469,5297,1370
31013,0.75,False,ok,0.8022670025188917,8060,2204
31014,0.75,False,ok,0.8076923076923077,5865,1561
31015,0.75,False,ok,0.7972027972027972,7110,1814
31016,0.75,False,ok,0.7897310513447433,8530,2364
31017,0.75,False,ok,0.8056580565805658,10096,2668
31018,0.75,False,ok,0.7731673582295989,9483,2397
31019,0.75,False,ok,0.7973333333333333,8185,2044
31020,0.75,False,ok,0.7818411097099621,5720,1504
31001,0.75,True,ok,0.7942583732057417,7151,2012
31002,0.75,True,ok,0.8027638190954773,5875,1424
31003,0.75,True,ok,0.8168674698795181,11396,3513
31004,0.75,True,ok,0.8110137672090113,5270,1381
