target_deterministic_share,seed,lexical_variation,realized_det_pct,weighted_ads,unweighted_ads,cross_company_consistency,n_products_train,n_train_lines
0.0,30001,False,0.47549019607843135,0.7056913348145616,0.8154547094424155,0.6361860620517554,816,5851
0.0,30002,False,0.4803921568627451,0.6972146232280527,0.818907706087519,0.6360228929141849,816,8042
0.0,30003,False,0.5151098901098901,0.6913322911238492,0.8315791505707086,0.6472879439420505,728,5757
0.0,30004,False,0.4730077120822622,0.6971025841816758,0.8159075270164695,0.6172421915064684,778,6385
0.0,30005,False,0.5198412698412699,0.6987397820163488,0.8289446856945869,0.62191130521307,756,5872
0.0,30006,False,0.4402439024390244,0.7049918166939444,0.812701442513885,0.6292367961598743,820,9776
0.0,30007,False,0.5252918287937743,0.7046506945842561,0.8300635447778018,0.6241173431730167,771,4967
0.0,30008,False,0.4726027397260274,0.714259190493873,0.8205546062826639,0.6278546861330468,730,5386
0.0,30009,False,0.44391971664698937,0.7001187007661595,0.812087156748421,0.6574093858304638,847,9267
0.0,30010,False,0.5129789864029666,0.7137521222410866,0.829049984430482,0.5947299992285394,809,5890
0.1,30001,False,0.5141388174807198,0.7550588945937783,0.8326136140503635,0.6489331983408424,778,6622
0.1,30002,False,0.4930875576036866,0.7284121083377589,0.8283054912384024,0.6528828305989819,868,9415
0.1,30003,False,0.5530799475753604,0.7325162220620043,0.8401741631523935,0.6845830907478965,763,5548
0.1,30004,False,0.49399038461538464,0.729262824739549,0.8256521969667612,0.6510170150586736,832,7583
0.1,30005,False,0.5618421052631579,0.7368324463204258,0.8407696937006588,0.6296391872993075,760,5449
0.1,30006,False,0.5116883116883116,0.7217152389363164,0.8373667281473002,0.6836869204949648,770,10191
0.1,30007,False,0.5135908440629471,0.7103513770180437,0.8259513980369118,0.6366290938708482,699,5265
0.1,30008,False,0.5240506329113924,0.7321069717112382,0.8382060447661751,0.6452517491328149,790,6469
0.1,30009,False,0.5592105263157895,0.7427715091678421,0.8479831563269804,0.652251221987205,760,5672
0.1,30010,False,0.5287206266318538,0.7219488188976378,0.8381113516993838,0.639057048644241,766,6096
0.2,30001,False,0.5639097744360902,0.7388878891488213,0.8474551612812635,0.664884187341402,798,5557
0.2,30002,False,0.5588942307692307,0.7473794549266247,0.8521351645790902,0.6647250056601285,832,5724
0.2,30003,False,0.5601503759398496,0.760752688172043,0.8489344408108741,0.6487582326318605,798,5952
0.2,30004,False,0.5954738330975955,0.7615032080659945,0.8651808442126256,0.6984042340265615,707,5455
0.2,30005,False,0.59526938239159,0.743673712414409,0.8582314027217528,0.6606903949304859,761,6718
0.2,30006,False,0.5862068965517241,0.7494730014593806,0.8586700645349369,0.6884038204577236,841,6167
0.2,30007,False,0.5215311004784688,0.7226238286479251,0.8352013444174269,0.661092053175505,836,7470
0.2,30008,False,0.541871921182266,0.7492597787127941,0.8370248186280245,0.6419922022959945,812,6417
0.2,30009,False,0.5696821515892421,0.7485559788619884,0.8574730407819011,0.6864488573912512,818,8137
0.2,30010,False,0.5520581113801453,0.7234241452991453,0.8417668215595386,0.6259923727929274,826,7488
0.3,30001,False,0.6321525885558583,0.7784167145869274,0.8697378418154817,0.6791902919507737,734,5217
0.3,30002,False,0.6157697121401752,0.7652840246543395,0.8686652661890245,0.6933362032231968,799,6003
0.3,30003,False,0.594859241126071,0.7679422160749961,0.859847497492437,0.6826036704447661,817,6507
0.3,30004,False,0.6159029649595688,0.7402597402597403,0.8650050877800707,0.6660749410714903,742,6930
0.3,30005,False,0.6241610738255033,0.7796343620994692,0.8683450182296923,0.6705608365938971,745,5087
0.3,30006,False,0.5887005649717514,0.7879209574172001,0.8609509684953751,0.6862733731725285,885,7186
0.3,30007,False,0.614765100671141,0.757614916005169,0.8675158141649542,0.6796126412300123,745,5417
0.3,30008,False,0.6127819548872181,0.7877848395597582,0.8717688031404032,0.6768994637360807,798,6451
0.3,30009,False,0.6420382165605095,0.7755822159491884,0.874757358515402,0.6919560292120488,785,5668
0.3,30010,False,0.6150061500615006,0.7191248334073745,0.8619354252735695,0.6678903065885784,813,9004
0.4,30001,False,0.6781002638522428,0.7725758697261288,0.8872651635572661,0.7050189429277212,758,5404
0.4,30002,False,0.6740837696335078,0.7591047040971168,0.8827119644014889,0.6762108109298949,764,5272
0.4,30003,False,0.6569148936170213,0.7836898884622417,0.8813526051294217,0.6852052018581308,752,5469
0.4,30004,False,0.6904441453566622,0.8030579643998175,0.891302924983465,0.6963204352951661,743,4382
0.4,30005,False,0.6410256410256411,0.7979370984105513,0.880548224076711,0.6747064717648811,780,5914
0.4,30006,False,0.6514778325123153,0.8160467010589194,0.8827297466184935,0.6959192138899375,812,7366
0.4,30007,False,0.6625850340136055,0.8259363672976239,0.8915603509112224,0.7299046915802214,735,12415
0.4,30008,False,0.6940298507462687,0.8054481546572935,0.8960812616868582,0.6886000752522207,804,5690
0.4,30009,False,0.6243718592964824,0.8046085858585859,0.8636266724482269,0.6658218152221307,796,6336
0.4,30010,False,0.6528623629719854,0.7853566111787793,0.8776697950463845,0.6754706162694899,821,7389
0.5,30001,False,0.6645807259073843,0.7694077938017797,0.8777932280140587,0.6584312351529591,799,6518
0.5,30002,False,0.7225,0.8214346858414655,0.9022040231030516,0.7150579147815956,800,5841
0.5,30003,False,0.6835599505562423,0.8227244772447725,0.8918556353613375,0.7091209076644778,809,6504
0.5,30004,False,0.7076167076167076,0.8405038211151995,0.9047139771770465,0.7053895453567846,814,7066
0.5,30005,False,0.7293640054127198,0.804296455424275,0.90555214574124,0.662103478085615,739,4655
0.5,30006,False,0.6964285714285714,0.82099861851194,0.8931072078570276,0.6788713972336303,784,5067
0.5,30007,False,0.7303851640513552,0.8124839455432828,0.9063455202993496,0.7000901977754804,701,7786
0.5,30008,False,0.677336747759283,0.83399209486166,0.8949119120657947,0.7339097281744323,781,7337
0.5,30009,False,0.6794554455445545,0.8366969391187353,0.8887643914277261,0.7184531550289076,808,5946
0.5,30010,False,0.6861499364675985,0.7926613013231483,0.8901629940315019,0.6879266450188747,787,7331
0.55,30001,False,0.7323943661971831,0.8132631974450498,0.9043149100345929,0.7022332283418742,781,5323
0.55,30002,False,0.7222929936305732,0.8050560797578779,0.903582777724656,0.7025289680892018,785,5617
0.55,30003,False,0.7322335025380711,0.829547141796585,0.9094767980002084,0.7295552567494545,788,6735
0.55,30004,False,0.6936274509803921,0.8369487142651918,0.8995219293714046,0.7302173784904872,816,6961
0.55,30005,False,0.7552870090634441,0.842687533729088,0.9114437565784407,0.6963473806329594,662,3706
0.55,30006,False,0.6959370904325033,0.8309880017775144,0.9011600318838875,0.7240085923532837,763,6751
0.55,30007,False,0.7110215053763441,0.8053558145301265,0.8994700901200703,0.7224954860288835,744,8066
0.55,30008,False,0.7423857868020305,0.8559652928416486,0.9119820523753196,0.7068484749846962,788,6915
0.55,30009,False,0.7133507853403142,0.807480256295634,0.9017580459178759,0.7123167839845133,764,6711
0.55,30010,False,0.6927860696517413,0.8185762870880732,0.8975107325860894,0.6975594911864179,804,8527
0.6,30001,False,0.7176602924634421,0.8371663244353182,0.9091737130253319,0.7381878358509597,889,9740
0.6,30002,False,0.7725490196078432,0.8435892888810073,0.9254419029899007,0.7617875379373589,765,5639
0.6,30003,False,0.7459526774595268,0.8665749656121046,0.9103382959161233,0.7482188919186663,803,5816
0.6,30004,False,0.7438867438867439,0.8556430446194225,0.9116884823374782,0.7397946957501333,777,4953
0.6,30005,False,0.7378129117259552,0.829783877583215,0.9134498988554977,0.6897532730972773,759,6339
0.6,30006,False,0.7481481481481481,0.8503449495842915,0.9097054717221451,0.7516584971474437,810,5653
0.6,30007,False,0.7113924050632912,0.804402267035719,0.9014757374190397,0.711840282106196,790,7587
0.6,30008,False,0.7513227513227513,0.8587551867219917,0.9134206579512406,0.7446050974659841,756,6025
0.6,30009,False,0.7256637168141593,0.8251609128145114,0.9067224058742179,0.7351760991023328,791,8545
0.6,30010,False,0.7142857142857143,0.7858952702702703,0.8955343352239167,0.6682428726403469,805,7104
0.65,30001,False,0.7621419676214197,0.8650544857441409,0.9179365220105777,0.7580375607655762,803,6699
0.65,30002,False,0.7538860103626943,0.8508272308109575,0.9211434869140643,0.7309800795054674,772,7374
0.65,30003,False,0.7730307076101469,0.8467815049864007,0.9245278367823139,0.739196199655348,749,5515
0.65,30004,False,0.7494117647058823,0.8333062814478169,0.9101895213209734,0.710262915431212,850,6161
0.65,30005,False,0.7521160822249093,0.8422542807064851,0.9208818889273632,0.7128201830364794,827,7417
0.65,30006,False,0.77455919395466,0.8584110743304243,0.9258046255143999,0.7324180311462223,794,6646
0.65,30007,False,0.7393548387096774,0.8529804865009356,0.9145248892242239,0.7371924303001807,775,7482
0.65,30008,False,0.7717391304347826,0.8358465355983966,0.9210333113717629,0.7192802276626302,736,5239
0.65,30009,False,0.7490196078431373,0.8644487701291806,0.9144517019661297,0.7338782036957964,765,5651
0.65,30010,False,0.7525252525252525,0.8241006702229517,0.9145438263791272,0.7273441260916833,792,7311
0.7,30001,False,0.7671568627450981,0.8579710144927536,0.921620895453633,0.740856183304858,816,7590
0.7,30002,False,0.7819444444444444,0.8063867798124162,0.9199916968649102,0.7048673101293361,720,4478
0.7,30003,False,0.8055207026348808,0.8797903109182935,0.9358705565972865,0.772634638880088,797,5532
0.7,30004,False,0.7688172043010753,0.8613653699466056,0.9218825920297141,0.7238598814664117,744,5244
0.7,30005,False,0.7780748663101604,0.8891900510204082,0.926240516418717,0.7471543267032776,748,6272
0.7,30006,False,0.7859778597785978,0.8818453368735479,0.9317052995520146,0.7484036015186253,813,6026
0.7,30007,False,0.7721674876847291,0.8311325151468075,0.9217438283910867,0.752405567269028,812,6437
0.7,30008,False,0.78562421185372,0.886653129038213,0.9296807924083176,0.757635870772086,793,5417
0.7,30009,False,0.7639060568603214,0.861918360490509,0.9182149683756852,0.7400737092772101,809,5953
0.7,30010,False,0.7733674775928298,0.8436070572859944,0.9216751907633883,0.7064017846369063,781,4591
0.75,30001,False,0.805115712545676,0.8785265312088876,0.9377192295260391,0.75927214222273,821,6841
0.75,30002,False,0.7694369973190348,0.8106060606060606,0.9183503465407904,0.7085721201259934,746,5808
0.75,30003,False,0.8423645320197044,0.8687727825030377,0.9451227942431694,0.768747564941825,812,6584
0.75,30004,False,0.7910447761194029,0.8440329218106996,0.9312352404147596,0.7448473062375842,804,7290
0.75,30005,False,0.8124156545209177,0.8799714642411272,0.9350303734407344,0.7204992528135953,741,5607
0.75,30006,False,0.7916167664670659,0.8695714904054249,0.9311353167621214,0.7354958869862762,835,6931
0.75,30007,False,0.7847025495750708,0.8469567574894944,0.9280908380706163,0.7640682542109862,706,7377
